ENSG_ID	logFC	Fold Change	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000229896	0.386711403674156	1.30740978847589	5.59930296923476	2.21259844193666	0.0385780013038279	0.110850433522115	-4.29933880249151
ENSG00000174460	0.610325604295108	1.52660371186901	4.70100301856238	2.21237514501636	0.0385956392405138	0.110885271537996	-4.29974589257569
ENSG00000142515	0.153418975452762	1.11220210707396	5.01362613463927	2.21221414760704	0.038608360787907	0.110905976832681	-4.30003938981347
ENSG00000225783	0.461470982966071	1.37694504641272	5.81038127382473	2.21207661934432	0.0386192309042569	0.110920453118934	-4.30029009278522
ENSG00000135315	-0.296424976158086	-1.22809739254669	6.30111042163298	-2.21199861758006	0.0386253973391429	0.110920453118934	-4.3004322795715
ENSG00000104679	0.217619900361241	1.16281364049907	9.03838887453682	2.21194108092963	0.0386299464792907	0.110920453118934	-4.300537159261
ENSG00000182511	-0.384453040670485	-1.30536479903141	6.88087081202151	-2.21183198862351	0.0386385732151398	0.110929385571688	-4.3007360117862
ENSG00000007306	0.266931348658502	1.2032457676052	3.95117195825086	2.21145736086643	0.0386682112001146	0.110998629095847	-4.30141883519298
ENSG00000164465	0.274760591633669	1.20979331312625	7.55938768947825	2.21123883457488	0.0386855090908314	0.111032435182776	-4.30181710477546
ENSG00000278058	0.23771777377164	1.17912590400119	6.21761296304006	2.21103777257625	0.0387014308015897	0.111054119710994	-4.30218352435366
ENSG00000177873	0.161855547955244	1.11872508137006	5.73716720508106	2.21100396619862	0.0387041084508157	0.111054119710994	-4.30224513183404
ENSG00000160285	-0.254494296668485	-1.19291752012998	6.92029805847043	-2.21080911534606	0.0387195449973488	0.111082563401096	-4.30260020971406
ENSG00000124557	0.176881789646539	1.13043793844061	4.10550925282623	2.21064743422138	0.0387323580270119	0.111103473439058	-4.3028948279164
ENSG00000166959	-1.04397586513673	-2.06190214371446	6.90049388026792	-2.21022020634248	0.0387662339437734	0.111183627852697	-4.30367326775469
ENSG00000170037	0.213985005457372	1.15988759923808	6.61732910056184	2.21015561285253	0.0387713580692638	0.111183627852697	-4.30379095385224
ENSG00000130227	-0.27014239896711	-1.20592685094833	7.3313112246831	-2.21003326791448	0.038781065244183	0.111195609228082	-4.30401385452086
ENSG00000014164	0.167642686959306	1.12322167967416	5.28842919636273	2.20967698213209	0.0388093465542467	0.111260836571982	-4.30466293055022
ENSG00000198700	0.182626251513863	1.13494804134299	6.34831982520745	2.20935973355835	0.0388345450102775	0.111302073427985	-4.30524083620055
ENSG00000269292	0.713243530043626	1.63948594069165	7.35784759105661	2.20935653268204	0.0388347993259494	0.111302073427985	-4.30524666671945
ENSG00000234494	0.392504377889189	1.3126700944934	5.14215993527388	2.20901595575984	0.0388618674958151	0.111363781306403	-4.30586701159685
ENSG00000156253	0.385225545633405	1.30606395636143	8.09553525689554	2.20886258596932	0.0388740625528033	0.111382856817129	-4.30614634867849
ENSG00000272947	0.180070032847693	1.13293888029339	5.12623570396566	2.208766412609	0.0388817114708137	0.111388903046942	-4.30632150620144
ENSG00000100426	0.517881593681722	1.43185122004524	7.10223475353023	2.20861983898816	0.0388933714957309	0.111400421258577	-4.30658844730888
ENSG00000132481	0.420743782740601	1.33861750239023	8.5284668172335	2.20857661494911	0.0388968106050285	0.111400421258577	-4.3066671652556
ENSG00000115085	-0.666904348471143	-1.58766259541083	6.96896070368601	-2.20846969159498	0.0389053191264196	0.111408923957201	-4.30686188594522
ENSG00000186806	0.780785428654764	1.71806596375998	6.62116214927275	2.20805104948394	0.0389386492991324	0.111474923710805	-4.30762423054709
ENSG00000141574	-0.549630709061084	-1.46371097753808	8.89868976375251	-2.20804095880975	0.0389394529893295	0.111474923710805	-4.30764260452631
ENSG00000129625	-0.380878332066969	-1.30213437101863	11.12951047196	-2.20763939381359	0.038971448662726	0.11155064105552	-4.30837376803863
ENSG00000184838	0.575177321183229	1.48986057015291	6.1272206714051	2.20749848578577	0.038982681541492	0.11156691454119	-4.30863031227977
ENSG00000099840	0.248035187277779	1.18758863096222	6.35672779264778	2.20717768067314	0.0390082664460731	0.111624252489609	-4.30921434941589
ENSG00000251369	0.250579918971068	1.18968523572354	6.27402915130253	2.20690546224982	0.0390299884771497	0.111670521875652	-4.30970989265693
ENSG00000136237	-0.207456847510184	-1.15465099437551	5.86313484043226	-2.20613910428364	0.039091200338554	0.111829748223138	-4.31110476400555
